Seconds,Offer
04,0
04,1
16,2
16,3
16,4
16,5
03,6
03,7
23,8
23,9
23,10
14,11
14,12
25,13
25,14
09,15
09,16
09,17
09,18
07,19
07,20
07,21
06,22
07,23
07,24
12,25
12,26
11,27
11,28
07,29
07,30
23,31
23,32
26,33
26,34
06,35
06,36
10,37
10,38
30,39
30,40
11,41
11,42
12,43
12,44
11,45
11,46
18,47
18,48
07,49
07,50
09,51
09,52
11,53
11,54
11,55
11,56
13,57
13,58
07,59
07,60
20,61
20,62
05,63
13,64
18,66
18,67
05,68
05,69
04,70
04,71
12,72
09,73
26,75
26,76
07,77
08,78
05,79
05,80
16,81
14,82
16,83
16,84
14,85
14,86
07,87
07,88
15,89
05,90
05,91
05,92
13,93
13,94
00,95
15,96
15,97
38,98
13,99
13,100
13,101
06,102
06,103
06,104
11,105
11,106
06,107
06,108
06,109
07,110
08,111
08,112
08,113
08,114
08,115
05,116
09,117
