startTime	Availability	Energy
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	0.1
29	1	0.3
30	1	0.5
31	1	0.7
32	1	1
33	1	1.3
34	1	1.7
35	1	2
36	1	2.4
37	1	2.9
38	1	3.3
39	1	3.8
40	1	4.2
41	1	4.7
42	1	5.2
43	1	5.6
44	1	6.1
45	1	6.5
46	1	6.9
47	1	7.3
48	1	7.7
49	1	8.1
50	46	8.4
51	45	8.6
52	44	8.9
53	43	9.1
54	42	9.2
55	41	9.3
56	40	9.4
57	39	9.4
58	38	9.4
59	37	9.3
60	1	9.2
61	1	9.1
62	1	8.8
63	1	8.6
64	1	8.3
65	1	8
66	1	7.7
67	1	7.3
68	1	6.9
69	1	6.5
70	1	6
71	1	5.6
72	1	5.1
73	1	4.6
74	1	4.2
75	1	3.7
76	1	3.2
77	1	2.8
78	1	2.4
79	1	2
80	1	1.6
81	1	1.3
82	1	1
83	1	0.7
84	1	0.5
85	1	0.3
86	1	0.1
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
