startTime,endTime,energy
1,1,-0.9879606490756961
2,2,-0.8587588151675777
3,3,-0.8587588151675777
4,4,-0.8587588151675777
5,5,-0.7990237263883735
6,6,-0.7702623873465345
8,8,-1.8142115881143082
9,9,-2.3947050393260625
10,10,-3.203138207577157
11,11,-1.4414809477814325
12,12,-1.9545852144757203
13,13,-2.580074565510702
14,14,-1.5848709214642924
15,15,-2.3267324239189717
16,16,-1.6948781565975315
17,17,-2.7010618621707922
19,19,-0.8732595560069623
20,20,-1.371210598251318
21,21,-1.4254706466034406
22,22,-1.454789119811744
24,24,-1.0860087652858428
25,25,-0.8852991058835165
26,26,-2.195075432910648
27,27,-0.9341961965362304
28,28,-0.9341961965362304
29,29,-2.279659104207502
30,30,-2.406508964891744
31,31,-2.491535560720127
32,32,-1.8547579064480033
33,33,-2.3032439273654663
34,34,-3.1565734245358428
35,35,-2.6626173090229313
36,36,-3.2413009369383476
37,37,-3.4400895528849857
38,38,-3.4850805050000946
39,39,-3.2592713571758356
40,40,-3.4821506320283615
41,41,-3.4909582195380424
42,42,-3.329406224033888
43,43,-3.371043398315102
44,44,-3.7502514523524186
45,45,-3.3085448774685284
46,46,-3.245668018050666
48,48,-3.5767908864227516
49,49,-4.437175321305527
50,50,-4.147259130399676
51,51,-4.348153079604112
52,52,-4.356595100365331
53,53,-3.9423470387348933
54,54,-3.8401204082420928
55,55,-3.937379177371197
56,56,-3.7285269147871825
57,57,-4.129858851414399
58,58,-4.046931062131823
59,59,-3.834953875034259
60,60,-3.885401608780089
61,61,-3.8987449804072654
62,62,-3.960186133904118
63,63,-3.9157729736067886
64,64,-3.9151109991078417
65,65,-3.95100725994401
66,66,-4.009343213542939
67,67,-4.050827142783531
68,68,-4.00518288432573
69,69,-4.382124803938653
70,70,-4.389441024458536
71,71,-4.0281987204873
72,72,-4.339586157271876
73,73,-4.804319270190895
74,74,-4.3849191743969165
75,75,-4.172592047053491
76,76,-4.254667417748703
77,77,-4.183090490579374
78,78,-4.272582951792168
79,79,-4.134420828282656
80,80,-4.258485039610716
81,81,-5.018960879750918
83,83,-2.638129458053997
84,84,-3.7321882783787936
85,85,-4.031203556620888
86,86,-3.8378688645784633
87,87,-3.874322761580217
88,88,-3.9537663682798643
89,89,-3.851427734405427
90,90,-3.849962273701884
91,91,-3.8468060839179983
92,92,-3.587003403164397
93,93,-3.1539189061017923
94,94,-3.6875106544286402
95,95,-3.047685559652779
96,96,-3.079797693362917
