startTime,endTime,energy
0,0,-1.022824636002667
1,1,-0.8587588151680001
2,2,-0.8587588151680001
3,3,-0.8587588151680001
4,4,-0.8292600058943331
5,5,-0.7702623873469997
6,6,-0.7702623873469997
7,7,-1.4157330456600663
8,8,-1.3983720768133996
9,9,-1.3658563272497994
10,10,-1.681748774342533
11,11,-1.677211407256533
12,12,-1.3547363463155335
13,13,-1.3479390787175334
14,14,-1.3454397360435333
15,15,-1.3426925014748667
16,16,-0.7186511477756666
17,17,-1.3394881082156667
18,18,-1.335765732507
19,19,-1.3315497560596665
20,20,-0.7404154071206666
21,21,-1.3918679272144003
22,22,-0.7837436099119999
23,23,-1.3862526049697335
24,24,-0.8338944721200001
25,25,-0.9341961965360001
26,26,-1.2297173614909334
27,27,-1.2297051935082666
28,28,-1.5678663693805335
29,29,-1.6504172549213332
30,30,-1.9603664166533334
31,31,-1.9691229244160005
32,32,-2.3005969341446666
33,33,-2.335309015426
34,34,-2.348839133803333
35,35,-2.3603878557333333
36,36,-3.033425601208667
37,37,-2.4170665323733336
38,38,-3.090569594150667
39,39,-3.4393974247646666
40,40,-3.1142884135953324
41,41,-3.454624200467999
42,42,-3.1208217562566665
43,43,-3.457809082065333
44,44,-3.475678579784
45,45,-3.504862195052666
46,46,-3.516915341062666
47,47,-3.869437652860667
48,48,-3.8799769479753325
49,49,-3.8893025418526666
50,50,-3.896571757326666
51,51,-3.5589716608099993
52,52,-4.245990182005333
53,53,-3.5357057574360002
54,54,-4.242372025933334
55,55,-3.9036744494233333
56,56,-3.910394682485333
57,57,-4.266503525854666
58,58,-4.277048351274
59,59,-4.28471969816
60,60,-4.297137265847332
61,61,-4.315563329432666
62,62,-4.315571887267334
63,63,-4.31480977933
64,64,-4.345148819301333
65,65,-4.407999716038666
66,66,-4.40484752073
67,67,-4.403256443349333
68,68,-4.469804789487333
69,69,-4.601953826108
70,70,-4.960362445650666
71,71,-4.961195078414667
72,72,-4.610858586166667
73,73,-4.621566696041333
74,74,-4.614827183249999
75,75,-4.960207498502666
76,76,-4.22982283996
77,77,-4.536531777170667
78,78,-4.528905646236
79,79,-4.171303572140666
80,80,-4.186719973985333
81,81,-3.878776062334666
82,82,-4.215665934474666
83,83,-3.5169732624093326
84,84,-3.8938146535813325
85,85,-3.9660673390273335
86,86,-3.6177135311986666
87,87,-3.6126944007946666
88,88,-3.563458625454667
89,89,-3.1271707498300003
90,90,-3.125436313396667
91,91,-3.4607794828253335
92,92,-3.3385142848846665
93,93,-2.4314767279133336
94,94,-2.757043547964
95,95,-2.7478942254126673
